State,County,G_16,M_16,US_16,U_16,V_16,H_16,G_17,M_17,US_17,U_17,V_17,H_17,IO_16,IO_17,healthy
Colorado,El Paso,0.7185792349726776,0.27595628415300544,0.00546448087431694,0.0,0.0,0.0,0.6547945205479452,0.336986301369863,0.00821917808219178,0.0,0.0,0.0,1.0,1.0,0
Colorado,Garfield,0.7213114754098361,0.27595628415300544,0.00273224043715847,0.0,0.0,0.0,0.8159340659340659,0.18406593406593408,0.0,0.0,0.0,0.0,1.0,1.0,0
Colorado,Gunnison,0.8633879781420765,0.1366120218579235,0.0,0.0,0.0,0.0,0.7630853994490359,0.23415977961432508,0.0027548209366391185,0.0,0.0,0.0,1.0,1.0,0
Colorado,Jefferson,0.6693989071038251,0.27595628415300544,0.04644808743169399,0.00819672131147541,0.0,0.0,0.5863013698630137,0.336986301369863,0.07671232876712329,0.0,0.0,0.0,1.0,1.0,0
Colorado,La Plata,0.6857923497267759,0.2923497267759563,0.02185792349726776,0.0,0.0,0.0,0.7123287671232876,0.27671232876712326,0.010958904109589041,0.0,0.0,0.0,1.0,1.0,0
Colorado,Larimer,0.5163934426229508,0.46174863387978143,0.01912568306010929,0.00273224043715847,0.0,0.0,0.536986301369863,0.4301369863013699,0.030136986301369864,0.0027397260273972603,0.0,0.0,1.0,1.0,0
Colorado,Mesa,0.7103825136612022,0.28688524590163933,0.00273224043715847,0.0,0.0,0.0,0.7232876712328767,0.27671232876712326,0.0,0.0,0.0,0.0,1.0,1.0,0
Colorado,Montezuma,0.7814207650273224,0.2185792349726776,0.0,0.0,0.0,0.0,0.7780821917808219,0.2191780821917808,0.0027397260273972603,0.0,0.0,0.0,1.0,1.0,0
Colorado,Prowers,0.9803921568627451,0.01680672268907563,0.0028011204481792717,0.0,0.0,0.0,0.9830028328611898,0.0169971671388102,0.0,0.0,0.0,0.0,0.0,0.0,0
Colorado,Rio Blanco,0.8934426229508197,0.10655737704918032,0.0,0.0,0.0,0.0,0.7561643835616438,0.24383561643835616,0.0,0.0,0.0,0.0,1.0,1.0,0
Colorado,Weld,0.6721311475409836,0.319672131147541,0.00819672131147541,0.0,0.0,0.0,0.5835616438356165,0.39452054794520547,0.019178082191780823,0.0027397260273972603,0.0,0.0,1.0,1.0,0
Connecticut,Fairfield,0.6092896174863388,0.32786885245901637,0.04371584699453552,0.01912568306010929,0.0,0.0,0.7315068493150685,0.22465753424657534,0.03287671232876712,0.010958904109589041,0.0,0.0,0.0,0.0,0
Connecticut,Hartford,0.73224043715847,0.24863387978142076,0.01639344262295082,0.00273224043715847,0.0,0.0,0.7671232876712328,0.22465753424657534,0.00821917808219178,0.0,0.0,0.0,1.0,1.0,0
Connecticut,Litchfield,0.8415300546448088,0.1366120218579235,0.01912568306010929,0.00273224043715847,0.0,0.0,0.9173553719008265,0.07713498622589532,0.005509641873278237,0.0,0.0,0.0,1.0,1.0,0
Connecticut,New Haven,0.6994535519125683,0.26229508196721313,0.030054644808743168,0.00819672131147541,0.0,0.0,0.7863013698630137,0.18082191780821918,0.021917808219178082,0.010958904109589041,0.0,0.0,1.0,1.0,0
Connecticut,New London,0.8571428571428571,0.11484593837535013,0.025210084033613446,0.0028011204481792717,0.0,0.0,0.896551724137931,0.08045977011494253,0.017241379310344827,0.005747126436781609,0.0,0.0,0.0,1.0,0
Connecticut,Windham,0.9245810055865922,0.06424581005586592,0.008379888268156424,0.002793296089385475,0.0,0.0,0.9408450704225352,0.04788732394366197,0.011267605633802818,0.0,0.0,0.0,1.0,1.0,0
Delaware,Kent,0.8241758241758241,0.17032967032967034,0.005494505494505495,0.0,0.0,0.0,0.8393351800554016,0.15789473684210525,0.002770083102493075,0.0,0.0,0.0,1.0,1.0,0
Delaware,New Castle,0.6502732240437158,0.3224043715846995,0.02459016393442623,0.00273224043715847,0.0,0.0,0.6684931506849315,0.3013698630136986,0.030136986301369864,0.0,0.0,0.0,1.0,1.0,0
Delaware,Sussex,0.7923497267759563,0.1994535519125683,0.00819672131147541,0.0,0.0,0.0,0.8383561643835616,0.1589041095890411,0.0027397260273972603,0.0,0.0,0.0,1.0,1.0,0
District Of Columbia,District of Columbia,0.5765027322404371,0.40437158469945356,0.01912568306010929,0.0,0.0,0.0,0.4904109589041096,0.4986301369863014,0.010958904109589041,0.0,0.0,0.0,0.0,0.0,0
Florida,Alachua,0.8916666666666667,0.10555555555555556,0.002777777777777778,0.0,0.0,0.0,0.8901408450704226,0.10985915492957747,0.0,0.0,0.0,0.0,1.0,1.0,1
Florida,Baker,0.9329608938547486,0.0670391061452514,0.0,0.0,0.0,0.0,0.9549295774647887,0.04507042253521127,0.0,0.0,0.0,0.0,1.0,1.0,1
Florida,Bay,0.8961748633879781,0.10382513661202186,0.0,0.0,0.0,0.0,0.8301369863013699,0.16986301369863013,0.0,0.0,0.0,0.0,1.0,1.0,1
Florida,Brevard,0.907103825136612,0.09289617486338798,0.0,0.0,0.0,0.0,0.8948863636363636,0.10511363636363637,0.0,0.0,0.0,0.0,1.0,1.0,0
Florida,Broward,0.817174515235457,0.18282548476454294,0.0,0.0,0.0,0.0,0.7703081232492998,0.21568627450980393,0.014005602240896359,0.0,0.0,0.0,1.0,0.0,1
Florida,Citrus,0.8873626373626373,0.10989010989010989,0.0027472527472527475,0.0,0.0,0.0,0.8238636363636364,0.17613636363636365,0.0,0.0,0.0,0.0,0.0,0.0,1
Florida,Collier,0.9180327868852459,0.08196721311475409,0.0,0.0,0.0,0.0,0.907563025210084,0.09243697478991597,0.0,0.0,0.0,0.0,1.0,1.0,1
Florida,Duval,0.7349726775956285,0.2650273224043716,0.0,0.0,0.0,0.0,0.7890410958904109,0.20821917808219179,0.0027397260273972603,0.0,0.0,0.0,1.0,1.0,0
Florida,Escambia,0.8579234972677595,0.14207650273224043,0.0,0.0,0.0,0.0,0.8712328767123287,0.12054794520547946,0.00821917808219178,0.0,0.0,0.0,1.0,1.0,1
Florida,Hillsborough,0.7041095890410959,0.27945205479452057,0.0136986301369863,0.0027397260273972603,0.0,0.0,0.7270194986072424,0.2618384401114206,0.011142061281337047,0.0,0.0,0.0,1.0,1.0,0
Florida,Holmes,0.8360655737704918,0.16393442622950818,0.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,1
Florida,Lee,0.8852459016393442,0.11202185792349727,0.00273224043715847,0.0,0.0,0.0,0.8953168044077136,0.1046831955922865,0.0,0.0,0.0,0.0,1.0,1.0,0
Florida,Leon,0.8227146814404432,0.1772853185595568,0.0,0.0,0.0,0.0,0.7338935574229691,0.2661064425770308,0.0,0.0,0.0,0.0,0.0,0.0,1
Florida,Manatee,0.9371584699453552,0.06284153005464481,0.0,0.0,0.0,0.0,0.9287671232876712,0.06301369863013699,0.00821917808219178,0.0,0.0,0.0,1.0,1.0,0
Florida,Marion,0.8852459016393442,0.11202185792349727,0.00273224043715847,0.0,0.0,0.0,0.8603988603988604,0.13675213675213677,0.002849002849002849,0.0,0.0,0.0,1.0,1.0,1
Florida,Martin,0.9008264462809917,0.09917355371900827,0.0,0.0,0.0,0.0,0.8778409090909091,0.11931818181818182,0.002840909090909091,0.0,0.0,0.0,1.0,1.0,0
Florida,Miami-Dade,0.7222222222222222,0.26944444444444443,0.008333333333333333,0.0,0.0,0.0,0.8022598870056498,0.1864406779661017,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0
Florida,Okaloosa,0.9453551912568307,0.0546448087431694,0.0,0.0,0.0,0.0,0.9452054794520548,0.0547945205479452,0.0,0.0,0.0,0.0,1.0,1.0,1
Florida,Orange,0.8005464480874317,0.1994535519125683,0.0,0.0,0.0,0.0,0.7582417582417582,0.23626373626373626,0.005494505494505495,0.0,0.0,0.0,1.0,1.0,0
Florida,Osceola,0.9344262295081968,0.06557377049180328,0.0,0.0,0.0,0.0,0.9504132231404959,0.0440771349862259,0.005509641873278237,0.0,0.0,0.0,1.0,1.0,0
Florida,Palm Beach,0.7465181058495822,0.24512534818941503,0.005571030640668524,0.002785515320334262,0.0,0.0,0.7352112676056338,0.2591549295774648,0.005633802816901409,0.0,0.0,0.0,1.0,0.0,1
Florida,Pasco,0.8961748633879781,0.10109289617486339,0.00273224043715847,0.0,0.0,0.0,0.896551724137931,0.09770114942528736,0.005747126436781609,0.0,0.0,0.0,1.0,1.0,0
Florida,Pinellas,0.860655737704918,0.13934426229508196,0.0,0.0,0.0,0.0,0.7917808219178082,0.2054794520547945,0.0027397260273972603,0.0,0.0,0.0,1.0,1.0,1
Florida,Polk,0.8743169398907104,0.12568306010928962,0.0,0.0,0.0,0.0,0.8082191780821918,0.18082191780821918,0.010958904109589041,0.0,0.0,0.0,1.0,1.0,0
Florida,Santa Rosa,0.8852459016393442,0.11475409836065574,0.0,0.0,0.0,0.0,0.8186813186813187,0.1813186813186813,0.0,0.0,0.0,0.0,1.0,1.0,1
Florida,Sarasota,0.819672131147541,0.18032786885245902,0.0,0.0,0.0,0.0,0.7861111111111111,0.20833333333333334,0.005555555555555556,0.0,0.0,0.0,1.0,1.0,1
Florida,Seminole,0.9041095890410958,0.0958904109589041,0.0,0.0,0.0,0.0,0.9070422535211268,0.08732394366197183,0.005633802816901409,0.0,0.0,0.0,1.0,1.0,0
Florida,Volusia,0.883008356545961,0.116991643454039,0.0,0.0,0.0,0.0,0.8926553672316384,0.10734463276836158,0.0,0.0,0.0,0.0,1.0,1.0,1
Georgia,Bibb,0.7295081967213115,0.2568306010928962,0.01366120218579235,0.0,0.0,0.0,0.7780821917808219,0.2219178082191781,0.0,0.0,0.0,0.0,0.0,0.0,0
Georgia,Chatham,0.8306010928961749,0.16120218579234974,0.00819672131147541,0.0,0.0,0.0,0.7917808219178082,0.20821917808219179,0.0,0.0,0.0,0.0,0.0,0.0,1
Georgia,Clarke,0.8149171270718232,0.1685082872928177,0.011049723756906077,0.0055248618784530384,0.0,0.0,0.8722222222222222,0.12777777777777777,0.0,0.0,0.0,0.0,1.0,1.0,0
